id,type,title,confidence,score,status,recommended_action,manual_queries
metadata:2f1a382fdb4cea4a127d03cdf5946bba,metadata_anomaly,TREC-COVID: Rationale and Structure of an Information Retrieval Shared Task for COVID-19,high,1.4,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""TREC-COVID: Rationale and Structure of an Information Retrieval Shared Task for COVID-19"""
metadata:fe4d93217095160660da5f2f6a30fbb3,metadata_anomaly,VILA: Improving structured content extraction from scientific PDFs using visual layout groups,high,1.4,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""VILA: Improving structured content extraction from scientific PDFs using visual layout groups"""
metadata:9007aa1222506f3ed7b22fe3d5a1ef9b,metadata_anomaly,Booookscore: A systematic exploration of book-length summarization in the era of llms,high,1.3,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Booookscore: A systematic exploration of book-length summarization in the era of llms"""
metadata:fb97a18a044eb90ccd56132bcfe1b380,metadata_anomaly,Llms as research tools: A large scale survey of researchers' usage and perceptions,high,1.3,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Llms as research tools: A large scale survey of researchers' usage and perceptions"""
metadata:49c41388a0e6740629817d9f84eb037a,metadata_anomaly,"When do generative query and document expansions fail? a comprehensive study across methods, retrievers, and datasets",high,1.3,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""When do generative query and document expansions fail? a comprehensive study across methods, retrievers, and datasets"""
metadata:23cd58b1d2f8420a14e5c86b2d0a231c,metadata_anomaly,The semantic reader project,high,1.2,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""The semantic reader project"""
metadata:adca721bee7896ab9d02d79ed637aa64,metadata_anomaly,A dataset of information-seeking questions and answers anchored in research papers,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""A dataset of information-seeking questions and answers anchored in research papers"""
metadata:674cf9cd8d79c4eccf31296a91cd1b82,metadata_anomaly,A question answering framework for decontextualizing user-facing snippets from scientific documents,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""A question answering framework for decontextualizing user-facing snippets from scientific documents"""
metadata:94bac1ce765551aa490384a8a41a192f,metadata_anomaly,ACCoRD: A multi-document approach to generating diverse descriptions of scientific concepts,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""ACCoRD: A multi-document approach to generating diverse descriptions of scientific concepts"""
metadata:58ae75bd5263329e3bb62db01e8d30d6,metadata_anomaly,Are layout-infused language models robust to layout distribution shifts? a case study with scientific documents,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Are layout-infused language models robust to layout distribution shifts? a case study with scientific documents"""
metadata:655067a6d93ffc98f5db340594422022,metadata_anomaly,ArxivDIGESTables: Synthesizing scientific literature into tables using language models,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""ArxivDIGESTables: Synthesizing scientific literature into tables using language models"""
metadata:1ff5771aaff6008dc97eb3e9f311e005,metadata_anomaly,"Augmenting scientific papers with just-in-time, position-sensitive definitions of terms and symbols",medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Augmenting scientific papers with just-in-time, position-sensitive definitions of terms and symbols"""
metadata:293c27826be32208f16e0334b5dc2d07,metadata_anomaly,Bloom: A 176b-parameter open-access multilingual language model,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Bloom: A 176b-parameter open-access multilingual language model"""
metadata:04130f02d7860ee273eab72a50a02194,metadata_anomaly,Construction of the literature graph in semantic scholar,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Construction of the literature graph in semantic scholar"""
metadata:eea36d377c91b0f862a95421c527c85b,metadata_anomaly,Contextualized evaluations: Judging language model responses to underspecified queries,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Contextualized evaluations: Judging language model responses to underspecified queries"""
metadata:2966919a1396566f531540fcb0feeac1,metadata_anomaly,Datacomp-lm: In search of the next generation of training sets for language models,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Datacomp-lm: In search of the next generation of training sets for language models"""
metadata:0aa9c52a65c6b8eac0b79194f4600a82,metadata_anomaly,Decomposing complex queries for tip-of-the-tongue retrieval,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Decomposing complex queries for tip-of-the-tongue retrieval"""
metadata:7896c2ea2cb1bf5415abb83717ddf61c,metadata_anomaly,"Document-level definition detection in scholarly documents: Existing models, error analyses, and future directions",medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Document-level definition detection in scholarly documents: Existing models, error analyses, and future directions"""
metadata:9c11c8f7beddc32bfe9d97179f514040,metadata_anomaly,Drawedumath: Evaluating vision language models with expert-annotated students’ hand-drawn math images,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Drawedumath: Evaluating vision language models with expert-annotated students’ hand-drawn math images"""
metadata:0eb0906bdfb1635fc5d32a42a0cc40ee,metadata_anomaly,Exploring the role of local and global explanations in recommender systems,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Exploring the role of local and global explanations in recommender systems"""
metadata:155ccdb799783ab9b6e21edee7506948,metadata_anomaly,Flex: Unifying evaluation for few-shot nlp,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Flex: Unifying evaluation for few-shot nlp"""
metadata:ca41d5e4b44511114cde84073e7f7ef0,metadata_anomaly,Fluid language model benchmarking,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Fluid language model benchmarking"""
metadata:33bb087449e8053769a6b11b663ceefd,metadata_anomaly,Followir: Evaluating and teaching information retrieval models to follow instructions,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Followir: Evaluating and teaching information retrieval models to follow instructions"""
metadata:5a6808338f44d0b568ad663664eda592,metadata_anomaly,Generating scientific claims for zero-shot scientific fact checking,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Generating scientific claims for zero-shot scientific fact checking"""
metadata:2623cb1bc6056629c6c7a3b407f42011,metadata_anomaly,"Harnessing the power of smart and connected health to tackle COVID-19: IoT, AI, robotics, and blockchain for a better world",medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Harnessing the power of smart and connected health to tackle COVID-19: IoT, AI, robotics, and blockchain for a better world"""
metadata:b4e07768f55cb48d59a691469ff20037,metadata_anomaly,InfoLossQA: Characterizing and recovering information loss in text simplification,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""InfoLossQA: Characterizing and recovering information loss in text simplification"""
metadata:d093eff35c8f6c449ebcf49e2b2258ab,metadata_anomaly,Mathfish: Evaluating language model math reasoning via grounding in educational curricula,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Mathfish: Evaluating language model math reasoning via grounding in educational curricula"""
metadata:0aed4a6194b0d9e7ea6f435aeade1055,metadata_anomaly,Molmo and pixmo: Open weights and open data for state-of-the-art vision-language models,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Molmo and pixmo: Open weights and open data for state-of-the-art vision-language models"""
metadata:cde610a5ce3ffbbc27b7a010d524abfe,metadata_anomaly,Multi-lexsum: Real-world summaries of civil rights lawsuits at multiple granularities,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Multi-lexsum: Real-world summaries of civil rights lawsuits at multiple granularities"""
metadata:a84dec40e678e3690466c5712bb94054,metadata_anomaly,MultiCite: Modeling realistic citations requires moving beyond the single-sentence single-label setting,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""MultiCite: Modeling realistic citations requires moving beyond the single-sentence single-label setting"""
metadata:0a65d84b1de8a4d9d3069467691fc6af,metadata_anomaly,MultiVerS: Improving scientific claim verification with weak supervision and full-document context,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""MultiVerS: Improving scientific claim verification with weak supervision and full-document context"""
metadata:27047ceb31e77c3e229a1794afe46ae9,metadata_anomaly,olmocr 2: Unit test rewards for document ocr,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""olmocr 2: Unit test rewards for document ocr"""
metadata:28d6e543ac8f62391cd9e8e31eb378c3,metadata_anomaly,olmocr: Unlocking trillions of tokens in pdfs with vision language models,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""olmocr: Unlocking trillions of tokens in pdfs with vision language models"""
metadata:d01152f6055a6f7ca0a741526e9677c4,metadata_anomaly,One thousand and one pairs: A “novel” challenge for long-context language models,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""One thousand and one pairs: A “novel” challenge for long-context language models"""
metadata:c5a52db2f9050f91a440f378ca639df0,metadata_anomaly,Ontology alignment in the biomedical domain using entity definitions and context,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Ontology alignment in the biomedical domain using entity definitions and context"""
metadata:f3d919547472eb8164bd2bba899eb79b,metadata_anomaly,Organize the web: Constructing domains enhances pre-training data curation,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Organize the web: Constructing domains enhances pre-training data curation"""
metadata:894229d98a723a695ff109aafbccf106,metadata_anomaly,Overview and insights from the SCIVER shared task on scientific claim verification,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Overview and insights from the SCIVER shared task on scientific claim verification"""
metadata:11159c58660a22106008f1d313537a05,metadata_anomaly,Overview of the second workshop on scholarly document processing,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Overview of the second workshop on scholarly document processing"""
metadata:39a1641938cd1d26de8642ecc5148841,metadata_anomaly,Paper Plain: Making Medical Research Papers Approachable to Healthcare Consumers with Natural Language Processing,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Paper Plain: Making Medical Research Papers Approachable to Healthcare Consumers with Natural Language Processing"""
metadata:f1ed963a8c5206f2008227e1f23fa1bb,metadata_anomaly,Quantifying sex bias in clinical studies at scale with automated data extraction,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Quantifying sex bias in clinical studies at scale with automated data extraction"""
metadata:6b254ab1ab9574f2e7a3227f915a5867,metadata_anomaly,Routerretriever: Routing over a mixture of expert embedding models,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Routerretriever: Routing over a mixture of expert embedding models"""
metadata:5eade41bbeedf82c0cc2740de67eb0a1,metadata_anomaly,SciBERT: A Pretrained Language Model for Scientific Text,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""SciBERT: A Pretrained Language Model for Scientific Text"""
metadata:eb96469764dbe35b94f62e1333b21217,metadata_anomaly,SciFact-open: Towards open-domain scientific claim verification,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""SciFact-open: Towards open-domain scientific claim verification"""
metadata:7c435e740d3656d3c85cf0f7ff5f195a,metadata_anomaly,Scim: Intelligent skimming support for scientific papers,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Scim: Intelligent skimming support for scientific papers"""
metadata:bc11b533f435b4e3a04f1d805fc12caa,metadata_anomaly,Sciriff: A resource to enhance language model instruction-following over scientific literature,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Sciriff: A resource to enhance language model instruction-following over scientific literature"""
metadata:acb8e3c0487068e547c812a196ed0c89,metadata_anomaly,Searching for scientific evidence in a pandemic: An overview of TREC-COVID,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Searching for scientific evidence in a pandemic: An overview of TREC-COVID"""
metadata:20970369b279b9c0bd505e3c75db3fe6,metadata_anomaly,Signal and noise: A framework for reducing uncertainty in language model evaluation,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Signal and noise: A framework for reducing uncertainty in language model evaluation"""
metadata:3955a9df07eb2740128ed4df0b8726de,metadata_anomaly,The bigscience roots corpus: A 1.6 tb composite multilingual dataset,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""The bigscience roots corpus: A 1.6 tb composite multilingual dataset"""
metadata:e212bf08a83a3064811bb25beaac5035,metadata_anomaly,The responsible foundation model development cheatsheet: A review of tools & resources,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""The responsible foundation model development cheatsheet: A review of tools & resources"""
metadata:d53a0acb7b899378a493d192d3c54e51,metadata_anomaly,The rise of open science: Tracking the evolution and perceived value of data and methods link-sharing practices,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""The rise of open science: Tracking the evolution and perceived value of data and methods link-sharing practices"""
metadata:66323bcc8be45db0ebc1471dff84506c,metadata_anomaly,The semantic scholar open data platform,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""The semantic scholar open data platform"""
metadata:071ef8ea5b400caf7b0d482a41e11036,metadata_anomaly,TREC-COVID: constructing a pandemic information retrieval test collection,medium,1.05,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""TREC-COVID: constructing a pandemic information retrieval test collection"""
metadata:b35e9a5e047e8967f42f8826a298100b,metadata_anomaly,Fables: Evaluating faithfulness and content selection in book-length summarization,medium,0.9,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Fables: Evaluating faithfulness and content selection in book-length summarization"""
metadata:999dda7fb654441e98904269ab191d2c,metadata_anomaly,LongEval: Guidelines for Human Evaluation of Faithfulness in Long-form Summarization,medium,0.85,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""LongEval: Guidelines for Human Evaluation of Faithfulness in Long-form Summarization"""
metadata:ef72fa240033aa4f450d700ef660c28a,metadata_anomaly,Text mining approaches for dealing with the rapidly expanding literature on COVID-19,medium,0.85,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Text mining approaches for dealing with the rapidly expanding literature on COVID-19"""
metadata:8cfbe00021bbfdfbdfcde05db1e834c3,metadata_anomaly,TLDR: Extreme summarization of scientific documents,medium,0.85,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""TLDR: Extreme summarization of scientific documents"""
metadata:6d8a30b8bbf57e424557579b54631629,metadata_anomaly,Automatic detection of research values from scientific abstracts across computer science subfields,low,0.55,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Automatic detection of research values from scientific abstracts across computer science subfields"""
metadata:2a32d23e2ad89ee7b8128d6d8794c6f2,metadata_anomaly,Back to basics: A simple recipe for improving out-of-domain retrieval in dense encoders,low,0.55,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Back to basics: A simple recipe for improving out-of-domain retrieval in dense encoders"""
metadata:08307e172e34a70140280c903078f9c1,metadata_anomaly,Beyond summarization: Designing ai support for real-world expository writing tasks,low,0.55,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Beyond summarization: Designing ai support for real-world expository writing tasks"""
metadata:77157c917365179fbf972c26fd6b1d78,metadata_anomaly,CiteSee: Augmenting Citations in Scientific Papers with Persistent and Personalized Historical Context,low,0.55,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""CiteSee: Augmenting Citations in Scientific Papers with Persistent and Personalized Historical Context"""
metadata:87a78325dda4d73bd3d04d33a66a6bf5,metadata_anomaly,Data governance in the age of large-scale data-driven language technology,low,0.55,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Data governance in the age of large-scale data-driven language technology"""
metadata:3ad2e9c7568c614d82c27cd3b883bdef,metadata_anomaly,Efficiency pentathlon: A standardized arena for efficiency evaluation,low,0.55,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Efficiency pentathlon: A standardized arena for efficiency evaluation"""
metadata:231fb4b4537b98835262b702609b88d3,metadata_anomaly,"Know Your Audience: The benefits and pitfalls of generating plain language summaries beyond the"" general"" audience",low,0.55,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Know Your Audience: The benefits and pitfalls of generating plain language summaries beyond the"" general"" audience"""
metadata:7dff936ba6844e7dc8c6f0720e712ad4,metadata_anomaly,Mitigating biases in cord-19 for analyzing covid-19 literature,low,0.55,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Mitigating biases in cord-19 for analyzing covid-19 literature"""
metadata:b00ac4057a0e8cb75d050f281bd5dab9,metadata_anomaly,Overview of the third workshop on scholarly document processing,low,0.55,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Overview of the third workshop on scholarly document processing"""
metadata:03b5af6a42a127e823c865ca21d1d36e,metadata_anomaly,Combining Distant and Direct Supervision for Neural Relation Extraction,low,0.45,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Combining Distant and Direct Supervision for Neural Relation Extraction"""
metadata:bac8a87da711534d646747120942560a,metadata_anomaly,Discourse Understanding and Factual Consistency in Abstractive Summarization,low,0.45,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Discourse Understanding and Factual Consistency in Abstractive Summarization"""
metadata:8042cc1b86e283160f6b184c2af9f1ce,metadata_anomaly,Open domain multi-document summarization: A comprehensive study of model brittleness under retrieval,low,0.45,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Open domain multi-document summarization: A comprehensive study of model brittleness under retrieval"""
metadata:1b23178e3b75459689e847ab813cc428,metadata_anomaly,Overview of the 2020 epidemic question answering track,low,0.45,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Overview of the 2020 epidemic question answering track"""
metadata:1b8d031586768f70a35e58d69720bdd9,metadata_anomaly,"PaperMage: A Unified Toolkit for Processing, Representing, and Manipulating Visually-Rich Scientific Documents",low,0.45,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""PaperMage: A Unified Toolkit for Processing, Representing, and Manipulating Visually-Rich Scientific Documents"""
metadata:20de7b02c2429970d470b5a9e5d23ac0,metadata_anomaly,peS2o (pretraining efficiently on S2ORC) dataset,low,0.45,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""peS2o (pretraining efficiently on S2ORC) dataset"""
